text,intent,query_json
Dime el total de ingresos de los mecánicos?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""tecnico"", ""metric"": ""total_ingresos"", ""group_by"": ""mes"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""visualization"": ""bar""}"
¿cómo se comparan taller a y taller este en suma de montos?,COMPARE,"{""intent"": ""COMPARE"", ""entity"": ""taller"", ""metric"": ""sum_monto"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""none"", ""compare"": [""taller A"", ""taller Este""], ""visualization"": ""bar""}"
Evolución temporal de reportes otros?,TREND,"{""intent"": ""TREND"", ""entity"": ""incidente"", ""metric"": ""tasa_rechazo"", ""group_by"": ""time"", ""filters"": {""tipo_codigo"": ""OTROS""}, ""time_range"": ""hoy"", ""visualization"": ""line""}"
Dame la evolución del total pagado hoy?,TREND,"{""intent"": ""TREND"", ""entity"": ""pago"", ""metric"": ""sum_monto"", ""group_by"": ""time"", ""filters"": {""tipo_codigo"": ""BATERIA""}, ""time_range"": ""hoy"", ""visualization"": ""line""}"
¿cómo está el tiempo promedio de llegada de los establecimientos zona sur?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""taller"", ""metric"": ""avg_llegada"", ""group_by"": ""taller_id"", ""filters"": {""zona"": ""sur""}, ""time_range"": ""ultimo_trimestre"", ""visualization"": ""bar""}"
Necesito saber el suma de montos por estado el último mes?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""taller"", ""metric"": ""sum_monto"", ""group_by"": ""estado"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""visualization"": ""bar""}"
¿qué causó el cambio en ganancias de la semana pasada?,EXPLAIN,"{""intent"": ""EXPLAIN"", ""entity"": ""asignacion"", ""metric"": ""total_ingresos"", ""group_by"": ""none"", ""filters"": {}, ""time_range"": ""ultima_semana"", ""visualization"": ""text""}"
¿puedo ver los establecimientos de choque del último mes?,LIST,"{""intent"": ""LIST"", ""entity"": ""taller"", ""metric"": ""none"", ""group_by"": ""none"", ""filters"": {""tipo_codigo"": ""CHOQUE""}, ""time_range"": ""ultimo_mes"", ""limit"": 50, ""visualization"": ""table""}"
Mapa de calor de talleres de la semana pasada?,MAP,"{""intent"": ""MAP"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {}, ""time_range"": ""ultima_semana"", ""visualization"": ""map""}"
Dame la evolución del cuántas del último trimestre?,TREND,"{""intent"": ""TREND"", ""entity"": ""pago"", ""metric"": ""count"", ""group_by"": ""time"", ""filters"": {""zona"": ""oeste""}, ""time_range"": ""ultimo_trimestre"", ""visualization"": ""line""}"
¿qué comisiones totales se registra mensualmente el último mes?,AGGREGATE,"{""intent"": ""AGGREGATE"", ""entity"": ""incidente"", ""metric"": ""total_comisiones"", ""group_by"": ""mes"", ""filters"": {}, ""time_range"": ""ultimo_mes"", ""visualization"": ""bar""}"
¿dónde están los talleres de llanta pinchada?,MAP,"{""intent"": ""MAP"", ""entity"": ""taller"", ""metric"": ""count"", ""group_by"": ""zona"", ""filters"": {""tipo_codigo"": ""LLANTA""}, ""time_range"": ""ultimo_trimestre"", ""visualization"": ""map""}"
